Repository,URL,Chrono Version
nlburgin/systime_converter,https://github.com/nlburgin/systime_converter,0.4.0
jcageman/calendar,https://github.com/jcageman/calendar,0.4.5
qnighy/chrono-calendars,https://github.com/qnighy/chrono-calendars,0.4.6
notakaos/rust_sqlite3_example,https://github.com/notakaos/rust_sqlite3_example,0.4.7
fin-ger/rust-timespan,https://github.com/fin-ger/rust-timespan,0.4.9
FoamFactory/chronogrog,https://github.com/FoamFactory/chronogrog,0.4.9
richard-uk1/chrono-human-duration,https://github.com/richard-uk1/chrono-human-duration,0.4.10
shakyShane/chrono-test,https://github.com/shakyShane/chrono-test,0.4.10
jwir3/chrono_period,https://github.com/jwir3/chrono_period,0.4.10
liquidscorpio/chrono-utils,https://github.com/liquidscorpio/chrono-utils,0.4.13
nickswift/chronocam,https://github.com/nickswift/chronocam,0.4.13
PumpkinSeed/chrono-parser,https://github.com/PumpkinSeed/chrono-parser,0.4.19
konrads/chrono-light,https://github.com/konrads/chrono-light,0.4.19
casey/bips-chronological,https://github.com/casey/bips-chronological,0.4.19
shritesh/chronology,https://github.com/shritesh/chronology,0.4.19
aidenlangley/chrono_elapsed,https://github.com/aidenlangley/chrono_elapsed,0.4.19
vagicc/chrono_demo,https://github.com/vagicc/chrono_demo,0.4.19
thelonehegelian/date_time_tasks,https://github.com/thelonehegelian/date_time_tasks,0.4.19
giripriyadarshan/dnt,https://github.com/giripriyadarshan/dnt,0.4.19
ya7010/num-chrono-duration,https://github.com/ya7010/num-chrono-duration,0.4.19
CKalt/systime,https://github.com/CKalt/systime,0.4.19
EvanCarroll/rust-lastdayofmonth,https://github.com/EvanCarroll/rust-lastdayofmonth,0.4.19
SimonOsaka/my_adventures_api,https://github.com/SimonOsaka/my_adventures_api,0.4.19
marirs/datetime-parse-rs,https://github.com/marirs/datetime-parse-rs,0.4.19
Fabiokleis/calr,https://github.com/Fabiokleis/calr,0.4.19
sgasse/chrono-intervals,https://github.com/sgasse/chrono-intervals,0.4.22
danielm/api-with-rust-and-docker,https://github.com/danielm/api-with-rust-and-docker,0.4.22
Aditya-A-garwal/ag_file_system_scanner,https://github.com/Aditya-A-garwal/ag_file_system_scanner,0.4.23
grecaun/chronokeep-portal,https://github.com/grecaun/chronokeep-portal,0.4.23
HadziqM/Rust-csv-sqlite-test,https://github.com/HadziqM/Rust-csv-sqlite-test,0.4.23
tjardoo/carbono,https://github.com/tjardoo/carbono,0.4.24
cedizone/ToDo_List,https://github.com/cedizone/ToDo_List,0.4.24
